===================================REPORTE DE PROCESOS LARGOS==================================

FECHA: 2026-04-28_05-19-09
HOST: ubuntuSO
PARAMETROS USADOS: . 1 3


LISTA DE PROCESOS FILSTADOS:


PID: 1 | PPID: 0 | UID: 0 | TIME: 6260s | START: 03:34:48 | CPU: 0.0% | MEM: 0.3% | STAT: Ss | CMD: /sbin/init splash
PID: 235 | PPID: 1 | UID: 0 | TIME: 6256s | START: 03:34:52 | CPU: 0.0% | MEM: 0.4% | STAT: S<s | CMD: /usr/lib/systemd/systemd-journald
PID: 294 | PPID: 1 | UID: 0 | TIME: 6255s | START: 03:34:52 | CPU: 0.0% | MEM: 0.2% | STAT: Ss | CMD: /usr/lib/systemd/systemd-udevd
PID: 489 | PPID: 1 | UID: 990 | TIME: 6254s | START: 03:34:53 | CPU: 0.0% | MEM: 0.1% | STAT: Ss | CMD: /usr/lib/systemd/systemd-oomd
PID: 490 | PPID: 1 | UID: 991 | TIME: 6254s | START: 03:34:54 | CPU: 0.0% | MEM: 0.3% | STAT: Ss | CMD: /usr/lib/systemd/systemd-resolved
PID: 768 | PPID: 1 | UID: 996 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.2% | STAT: Ssl | CMD: /usr/lib/systemd/systemd-timesyncd
PID: 822 | PPID: 1 | UID: 108 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.1% | STAT: Ss | CMD: avahi-daemon: running [ubuntuSO.local]
PID: 825 | PPID: 1 | UID: 101 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.1% | STAT: Ss | CMD: @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
PID: 835 | PPID: 1 | UID: 988 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.4% | STAT: Ssl | CMD: /usr/libexec/gnome-remote-desktop-daemon --system
PID: 853 | PPID: 1 | UID: 987 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.3% | STAT: Ssl | CMD: /usr/lib/polkit-1/polkitd --no-debug
PID: 866 | PPID: 1 | UID: 0 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 0.1% | STAT: Ssl | CMD: /usr/libexec/power-profiles-daemon
PID: 883 | PPID: 1 | UID: 0 | TIME: 6253s | START: 03:34:55 | CPU: 0.0% | MEM: 1.0% | STAT: Ssl | CMD: /snap/snapd/current/usr/lib/snapd/snapd
PID: 886 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:55 | CPU: 0.0% | MEM: 0.2% | STAT: Ssl | CMD: /usr/libexec/accounts-daemon
PID: 888 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:55 | CPU: 0.0% | MEM: 0.0% | STAT: Ss | CMD: /usr/sbin/cron -f -P
PID: 895 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:55 | CPU: 0.0% | MEM: 0.1% | STAT: Ssl | CMD: /usr/libexec/switcheroo-control
PID: 898 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.2% | STAT: Ss | CMD: /usr/lib/systemd/systemd-logind
PID: 903 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.3% | STAT: Ssl | CMD: /usr/libexec/udisks2/udisksd
PID: 927 | PPID: 1 | UID: 102 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.1% | STAT: Ssl | CMD: /usr/sbin/rsyslogd -n -iNONE
PID: 942 | PPID: 822 | UID: 108 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.0% | STAT: S | CMD: avahi-daemon: chroot helper
PID: 947 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.4% | STAT: Ssl | CMD: /usr/sbin/NetworkManager --no-daemon
PID: 959 | PPID: 1 | UID: 0 | TIME: 6252s | START: 03:34:56 | CPU: 0.0% | MEM: 0.1% | STAT: Ss | CMD: /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
PID: 1036 | PPID: 1 | UID: 0 | TIME: 6251s | START: 03:34:57 | CPU: 0.0% | MEM: 0.3% | STAT: Ssl | CMD: /usr/sbin/ModemManager
PID: 1363 | PPID: 1 | UID: 0 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.3% | STAT: Ss | CMD: /usr/sbin/cupsd -l
PID: 1375 | PPID: 1 | UID: 0 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.5% | STAT: Ssl | CMD: /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
PID: 1412 | PPID: 1 | UID: 106 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.0% | STAT: Ss | CMD: /usr/sbin/kerneloops --test
PID: 1413 | PPID: 1 | UID: 118 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.3% | STAT: Ssl | CMD: /usr/libexec/colord
PID: 1424 | PPID: 1 | UID: 106 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.0% | STAT: Ss | CMD: /usr/sbin/kerneloops
PID: 1470 | PPID: 1 | UID: 115 | TIME: 6249s | START: 03:34:59 | CPU: 0.0% | MEM: 0.5% | STAT: Ssl | CMD: /usr/sbin/cups-browsed
PID: 2080 | PPID: 1 | UID: 0 | TIME: 6237s | START: 03:35:11 | CPU: 0.0% | MEM: 0.0% | STAT: Sl | CMD: /usr/bin/VBoxDRMClient
PID: 2084 | PPID: 1 | UID: 0 | TIME: 6237s | START: 03:35:11 | CPU: 0.0% | MEM: 0.0% | STAT: Sl | CMD: /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
PID: 2358 | PPID: 1 | UID: 0 | TIME: 6236s | START: 03:35:11 | CPU: 0.0% | MEM: 0.2% | STAT: Ssl | CMD: /usr/sbin/gdm3
PID: 2403 | PPID: 1 | UID: 117 | TIME: 6236s | START: 03:35:12 | CPU: 0.0% | MEM: 0.0% | STAT: SNsl | CMD: /usr/libexec/rtkit-daemon
PID: 2537 | PPID: 1 | UID: 0 | TIME: 6233s | START: 03:35:15 | CPU: 0.0% | MEM: 0.2% | STAT: Ssl | CMD: /usr/libexec/upowerd
PID: 2844 | PPID: 2358 | UID: 0 | TIME: 6229s | START: 03:35:19 | CPU: 0.0% | MEM: 0.2% | STAT: Sl | CMD: gdm-session-worker [pam/gdm-password]
PID: 2854 | PPID: 1 | UID: 1000 | TIME: 6225s | START: 03:35:22 | CPU: 0.0% | MEM: 0.3% | STAT: Ss | CMD: /usr/lib/systemd/systemd --user
PID: 2858 | PPID: 2854 | UID: 1000 | TIME: 6225s | START: 03:35:22 | CPU: 0.0% | MEM: 0.0% | STAT: S | CMD: (sd-pam)
PID: 2873 | PPID: 2854 | UID: 1000 | TIME: 6225s | START: 03:35:23 | CPU: 0.0% | MEM: 0.3% | STAT: Ssl | CMD: /usr/bin/pipewire
PID: 2874 | PPID: 2854 | UID: 1000 | TIME: 6225s | START: 03:35:23 | CPU: 0.0% | MEM: 0.1% | STAT: Ssl | CMD: /usr/bin/pipewire -c filter-chain.conf
