========INVENTARIO DE SISTEMAS DE ARCHIVOS========
FECHA: 20260201_0339
HOST: ubuntuSO
Usuario: root
Total de Dispositivos 18


DevName      UUID                                   TYPE     LABEL     
/dev/sda2    20f1c98c-523e-4868-b71f-fb33ddef864a   ext4     -         
/dev/loop1   -                                      squashfs -         
/dev/loop8   -                                      squashfs -         
/dev/loop15  -                                      squashfs -         
/dev/loop6   -                                      squashfs -         
/dev/loop13  -                                      squashfs -         
/dev/loop4   -                                      squashfs -         
/dev/loop11  -                                      squashfs -         
/dev/loop2   -                                      squashfs -         
/dev/loop0   -                                      squashfs -         
/dev/loop9   -                                      squashfs -         
/dev/loop7   -                                      squashfs -         
/dev/loop14  -                                      squashfs -         
/dev/loop5   -                                      squashfs -         
/dev/loop12  -                                      squashfs -         
/dev/loop3   -                                      squashfs -         
/dev/loop10  -                                      squashfs -         
/dev/sda1    -                                      -        -         


===================================================
